127.0.0.1 - - [13/Jan/2021:15:52:24 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:52:51 +0900] "GET /external.html HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:52:51 +0900] "GET /CSS/styles.css HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:52:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:55:01 +0900] "GET /external.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:55:01 +0900] "GET /CSS/styles.css HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:56:34 +0900] "GET /external.html HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:56:34 +0900] "GET /CSS/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:02:13 +0900] "GET /external.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:02:13 +0900] "GET /CSS/styles.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:03:22 +0900] "GET /external.html HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:03:22 +0900] "GET /CSS/styles.css HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:34:05 +0900] "GET /external.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:34:05 +0900] "GET /CSS/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:40:48 +0900] "GET /external.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:40:48 +0900] "GET /CSS/styles.css HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:43:26 +0900] "GET /external.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:43:26 +0900] "GET /CSS/styles.css HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:45:15 +0900] "GET /external.html HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:45:15 +0900] "GET /CSS/styles.css HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:50:10 +0900] "GET /inline-style.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:55:41 +0900] "GET /inline-style.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [13/Jan/2021:16:55:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
