127.0.0.1 - - [23/Jan/2021:13:10:15 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:10:18 +0900] "GET /gradeForm.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:10:18 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:10:32 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:05 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:20 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:28 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:35 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:44 +0900] "GET /gradeResult.jsp HTTP/1.1" 500 2701
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:50 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:11:59 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:13 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:15 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:20 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:32 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:38 +0900] "POST /gradeResult.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:41 +0900] "POST /gradeResult.jsp HTTP/1.1" 500 2923
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:48 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:12:56 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:13:03 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [23/Jan/2021:13:13:06 +0900] "POST /gradeResult.jsp HTTP/1.1" 200 485
